,movie,sentence
40,star wars,rebel feet throat vader what done plans rebel officer intercepted transmissions aaah this consular ship were diplomatic mission
41,star wars,vader if consular ship ambassador rebel refuses speak eventually cries dark lord begins squeeze officer throat creating gruesome
42,star wars,snapping choking soldier goes limp vader tosses dead soldier wall turns troops vader commander tear ship apart found
43,star wars,plans bring ambassador want alive stormtroopers scurry subhallways rebel blockade runner subhallway lovely young girl huddles small alcove
44,star wars,stormtroopers search ship princess leia organa member alderaan senate fear eyes slowly gives way anger muted crushing sounds
45,star wars,approaching stormtroopers grow louder one troopers spots trooper there set stun leia steps hiding place blasts trooper laser
46,star wars,pistol starts run felled paralyzing ray troopers inspect inert body trooper right inform lord vader prisoner rebel blockade
47,star wars,runner subhallway artoo stops small hatch emergency lifepod snaps seal main latch red warning light begins flash stubby
48,star wars,astro robot works way cramped four man pod threepio hey permitted restricted deactivated sure artoo beeps something threepio
49,star wars,don call mindless philosopher overweight glob grease now come somebody sees artoo whistles something reluctant friend regarding mission
50,star wars,perform threepio secret mission what plans what talking getting artoo happy threepio stubbornness beeps twangs angrily new explosion
51,star wars,time close sends dust debris narrow subhallway flames lick threepio flurry electronic swearing artoo lanky robot jumps lifepod
52,star wars,threepio going regret imperial stardestroyer on main viewscreen lifepod carrying two terrified robots speeds away stricken rebel spacecraft
53,star wars,chief pilot there goes another one captain hold fire there life forms must short circuited lifepod artoo threepio
54,star wars,look receding imperial starship stars circle pod rotates galaxy threepio that funny damage look bad artoo beeps assuring
55,star wars,response threepio are sure things safe tatooine anchorhead settlement power station day heat waves radiate dozen bleached white
56,star wars,buildings luke pilots landspeeder dusty empty street tiny settlement an old woman runs get way speeding vehicle shaking
57,star wars,fist luke flies past woman told kids slow power station day luke bursts power station waking fixer rugged
58,star wars,mechanic camie sexy disheveled girl asleep lap grumbled races office yelling wildly fixer did hear young noise blast
59,star wars,camie wormie another rampage luke bounces small room behind office deak windy two tough boys age luke playing
60,star wars,computer pool like game biggs burly handsome boy years older rest his flashy city attire sharp contrast loose
61,star wars,fitting tunics farm boys robot repairs equipment background luke shape guys biggs luke surprise appearance biggs gives way
62,star wars,great joy emotion give great bear hug luke know back when get biggs just wanted surprise hot shot
63,star wars,thought certainly expect working laughs luke academy change much back soon hey happened get commission biggs air cool
64,star wars,seems slightly phony biggs of course got signed aboard rand ecliptic last week first mate biggs darklighter service
65,star wars,salutes came say good bye unfortunate landlocked simpletons everyone laughs dazzling spectacle dashing friend almost much luke suddenly
66,star wars,snaps luke almost forgot there battle going right system come look deak not forget tatooine anchorhead settlement power
67,star wars,station day group stumbles stifling desert sun camie fixer complain forced shade eyes luke binoculars scanning heavens luke
68,star wars,there biggs takes binoculars luke others strain see something naked eye through binoculars biggs sees two small silver
69,star wars,specks biggs that battle hot shot sitting probably freighter tanker refueling luke but lot firing earlier camie grabs
70,star wars,binoculars away banging building process luke grabs luke hey easy camie don worry wormie fixer gives luke hard
71,star wars,look young farm boy shrugs shoulders resignation fixer keep telling rebellion long way doubt empire would even fight
72,star wars,keep system believe luke planet big hunk nothing luke agrees although obvious sure group stumbles back power station
73,star wars,grumbling luke ineptitude rebel blockade runner hallway princess leia led low ceilinged hallway squad armored stormtroopers her hands
74,star wars,bound brutally shoved unable keep briskly marching troops stop smoky hallway darth vader emerges shadows sinister dark lord
75,star wars,stares hard frail young senator move leia lord vader known only could bold imperial senate sit hear attacked
76,star wars,diplomatic vader don play games your highness mercy mission time passed directly restricted system several transmissions beamed ship
77,star wars,rebel spies want know happened plans sent leia know talking member imperial senate diplomatic mission alderaan vader part
78,star wars,rebel alliance traitor take away leia marched away hallway smoldering hole blasted side ship an imperial commander turns
79,star wars,vader commander holding dangerous if word gets could generate sympathy rebellion senate vader traced rebel spies now link
80,star wars,find secret base commander die tells anything vader leave send distress signal inform senate aboard killed another imperial
81,star wars,officer approaches vader commander stop snap attention second officer lord vader battle station plans aboard ship and transmissions
82,star wars,made an escape pod jettisoned fighting life forms aboard vader turns commander vader must hidden plans escape pod
83,star wars,send detachment retrieve see personally commander there one stop us time commander yes sir space imperial stardestroyer comes
84,star wars,surface planet tatooine tatooine desert jundland no man land rugged desert mesas meet foreboding dune sea two helpless
85,star wars,astro droids kick clouds sand leave lifepod clumsily work way across desert wasteland lifepod distance rests half buried
86,star wars,sand threepio how get mess really know seem made suffer lot life artoo answers beeping sounds threepio got
87,star wars,rest fall apart my joints almost frozen artoo continues respond beeping sounds threepio what desolate place suddenly artoo
88,star wars,whistles makes sharp right turn starts direction rocky desert mesas threepio stops yells threepio where going stream electronic
89,star wars,noises pours forth small robot threepio well going way much rocky this way much easier artoo counters long
90,star wars,whistle threepio what makes think settlements artoo continues make beeping sounds threepio don get technical artoo continues make
91,star wars,beeping sounds threepio what mission what talking enough go way malfunctioning within day nearsighted scrap pile threepio gives
92,star wars,little robot kick starts direction vast dune sea threepio and let catch following begging help get artoo reply
93,star wars,rather rude sound turns trudges direction towering mesas threepio no adventures going way artoo beeps makes way toward
94,star wars,distant mountains tatooine dune sea threepio hot tired struggles ridge dune find dunes seem go endless miles looks
95,star wars,back direction distant rock mesas threepio that malfunctioning little twerp this fault tricked going way better in huff
96,star wars,anger frustration threepio knocks sand joints his plight seems hopeless glint reflected light distance reveals object moving towards
97,star wars,threepio wait transport saved bronze android waves frantically yells approaching transport threepio over help please help tatooine anchorhead
98,star wars,settlement power station day luke biggs walking drinking malt brew fixer others heard working inside luke very animated
99,star wars,cut power shut afterburners came low deak trail close thought going fry instruments as busted skyhopper pretty bad
100,star wars,uncle owen pretty upset grounded rest season fantastic biggs ought take easy luke may hottest bushpilot side mos
101,star wars,eisley little skyhoppers dangerous keep one day whammo going nothing dark spot side canyon wall luke look talking
102,star wars,now around giant starships beginning sound like uncle gotten soft city biggs missed kid luke well things since
103,star wars,left biggs quiet biggs looks around leans close luke biggs luke come back say good bye tell one
104,star wars,trust come back want somebody know luke eyes wide biggs seriousness loyalty luke what talking biggs made friends
105,star wars,academy whispers frigate goes one central systems going jump ship join alliance luke amazed stunned almost speechless luke
106,star wars,join rebellion are kidding how biggs quiet ya got mouth bigger meteor crater luke sorry quiet whispers listen
107,star wars,quiet barely hear biggs shakes head angrily continues biggs my friend friend bestine might help us make contact
108,star wars,luke crazy could wander around forever trying find biggs know long shot find always talked luke going wait
109,star wars,empire draft service rebellion spreading want right side side believe luke and stuck biggs thought going academy next
110,star wars,term get chance get rock luke not likely cancel application there lot unrest among sandpeople since left even
111,star wars,raided outskirts anchorhead biggs your uncle could hold whole colony sandpeople one blaster luke know got enough vaporators
112,star wars,going make place pay needs one season leave biggs feel luke going learn seems important really important what
113,star wars,good uncle work taken empire know starting nationalize commerce central systems long uncle merely tenant slaving greater glory
114,star wars,empire luke happen said empire bother rock biggs things always change luke wish going are going around long
115,star wars,biggs no leaving morning luke then guess see biggs maybe someday keep lookout luke well academy next season
116,star wars,knows drafted imperial starfleet sure take care always best friend got biggs so long luke biggs turns away
117,star wars,old friend heads towards power station tatooine rock canyon sunset gargantuan rock formations shrouded strange foreboding mist onimous
118,star wars,sounds unearthly creatures fill air artoo moves cautiously creepy rock canyon inadvertently making loud clicking noise goes hears
119,star wars,distant hard metallic sound stops moment convinced alone continues way in distance pebble tumbles steep canyon wall small
120,star wars,dark figure darts shadows little canyon slight flicker light reveals pair eyes dark recesses feet narrow path unsuspecting
121,star wars,robot waddles along rugged trail suddenly nowhere powerful magnetic ray shoots rocks engulfs eerie glow manages one short
122,star wars,electronic squeak topples onto back his bright computer lights flicker out rocks scurry three jawas taller artoo holster
123,star wars,strange complex weapons cautiously approach robot wear grubby cloaks faces shrouded glowing eyes seen hiss make odd guttural
124,star wars,sounds heave heavy robot onto shoulders carry trail tatooine rock canyon sandcrawler sunset eight jawas carry artoo canyon
125,star wars,huge tank like vehicle size four story house weld small disk side artoo put large tube side vehicle
126,star wars,little robot sucked giant machine filthy little jawas scurry like rats small ladders enter main cabin behemoth transport
127,star wars,sandcrawler hold area dim inside hold area sandcrawler artoo switches small floodlight forehead stumbles around scrap heap narrow
128,star wars,beam swings across rusty metal rocket parts array grotesquely twisted maimed astro robots lets pathetic electronic whimper stumbles
129,star wars,toward appears door end chamber sandcrawler prison area artoo enters wide room four foot ceiling in middle scrap
130,star wars,heap sit dozen robots various shapes sizes some engaged electronic conversation others simply mill voice recognition calls gloom
131,star wars,threepio artoo detoo battered threepio scrambles artoo embraces tatooine rock canyon sandcrawler sunset enormous sandcrawler lumbers toward magnificent
132,star wars,twin suns slowly setting distant mountain ridge tatooine desert day four imperial stormtroopers mill front half buried lifepod
133,star wars,brought artoo threepio tatooine trooper yells officer distance away first trooper someone pod tracks go direction second trooper
134,star wars,picks small bit metal sand gives first trooper second trooper look sir droids tatooine dunes sandcrawler moves slowly
135,star wars,great sand dune sandcrawler threepio artoo noisily bounce along inside cramped prison chamber artoo appears shut threepio wake
136,star wars,wake suddenly shaking bouncing sandcrawler stops creating quite commotion among mechanical men threepio fist bangs head artoo whose
137,star wars,computer lights pop begins beeping at far end long chamber hatch opens filling chamber blinding white light dozen
138,star wars,jawas make way odd assortment robots threepio doomed jawa starts moving toward threepio do think melt us artoo
139,star wars,responds making beeping sounds threepio don shoot don shoot will never end tatooine desert lars homestead afternoon jawas
140,star wars,mutter gibberish busily line battered captives including artoo threepio front enormous sandcrawler parked beside small homestead consisting three
141,star wars,large holes ground surrounded several tall moisture vaporators one small adobe block house jawas scurry around fussing robots
142,star wars,straightening brushing dust dented metallic elbow shrouded little creatures smell horribly attracting small insects dark areas mouths nostrils
143,star wars,out shadows dingy side building limps owen lars large burly man mid fifties his reddish eyes sunken dust
144,star wars,covered face as farmer carefully inspects robot closely followed slump shouldered nephew luke skywalker one vile little jawas
145,star wars,walks ahead farmer spouting animated sales pitch queer unintelligible language voice calls one huge holes form homestead luke
146,star wars,goes edge sees aunt beru standing main courtyard beru luke tell owen gets translator sure speaks bocce luke
147,star wars,looks like much choice remind luke returns uncle look equipment sale jawa leader owen need protocol droid threepio
148,star wars,quickly sir environment also programmed thirty secondary functions owen what really need droid understands binary language moisture vaporators
149,star wars,threepio vaporators sir my first job programming binary load lifter similar vaporators could say owen do speak bocce
150,star wars,threepio of course sir like second language fluent bocce owen all right shut turning jawa take one threepio
151,star wars,shutting sir owen luke take two garage want cleaned dinner luke but going toshi station pick power converters
152,star wars,owen waste time friends chores done now come get luke all right come and red one come well
153,star wars,come red let go as jawas start lead three remaining robots back sandcrawler artoo lets pathetic little beep
154,star wars,starts old friend threepio restrained slimy jawa zaps control box owen negotiating head jawa luke two robots start
155,star wars,garage plate pops head red astro droid head plate sparks wildly luke uncle owen owen yeah luke this
156,star wars,r unit bad motivator look owen head jawa hey trying push us jawa goes loud spiel meanwhile artoo
157,star wars,sneaked line moving trying attract attention lets low whistle threepio taps luke shoulder threepio pointing artoo excuse sir
158,star wars,r unit prime condition real bargain luke uncle owen owen yeah luke what one owen jawa what blue
159,star wars,one take one with little reluctance scruffy dwarf trades damaged astro droid artoo luke yeah take away threepio
160,star wars,uh quite sure pleased one sir really first class condition worked here comes owen pays whining jawa luke
161,star wars,two robots trudge toward grimy homestead entry luke okay let go threepio artoo now forget why stick neck
162,star wars,quite beyond capacity lars homestead garage area late afternoon garage cluttered worn friendly peaceful atmosphere permeates low grey
163,star wars,chamber threepio lowers large tub filled warm oil near battered landspeeder little artoo rests large battery cord face
164,star wars,threepio thank maker this oil bath going feel good got bad case dust contamination barely move artoo beeps
165,star wars,muffled reply luke seems lost thought runs hand damaged fin small two man skyhopper spaceship resting low hangar
166,star wars,garage finally luke frustrations get better slams wrench across workbench luke fair oh biggs right never gon na
167,star wars,get threepio is anything might help luke glances battered robot bit anger drains tiny smile creeps across face
168,star wars,luke well unless alter time speed harvest teleport rock threepio think sir droid knowledgeable things not planet anyways
169,star wars,as matter fact even sure planet luke well bright center universe planet farthest threepio see sir luke uh
170,star wars,call luke threepio see sir luke luke laughing just luke threepio and see threepio human cyborg relations counterpart
171,star wars,artoo detoo luke hello artoo beeps response luke unplugs artoo begins scrape several connectors robot head chrome pick
172,star wars,threepio climbs oil tub begins wiping oil bronze body luke got lot carbon scoring looks like boys seen
173,star wars,lot action threepio with sometimes amazed good condition rebellion luke know rebellion empire threepio that came service take
174,star wars,meaning sir luke have many battles threepio several think actually much tell much interpreter good telling stories well
175,star wars,making interesting anyways luke struggles remove small metal fragment artoo neck joint uses larger pick luke well little
176,star wars,friend got something jammed real good were cruiser fragment breaks loose snap sending luke tumbling head heels sits
177,star wars,sees twelve inch three dimensional hologram leia organa rebel senator projected face little artoo image rainbow colors flickers
178,star wars,jiggles dimly lit garage luke mouth hangs open awe leia help obi wan kenobi hope luke what artoo
179,star wars,looks around sheepishly beeps answer threepio translate leia continues repeat sentence fragment threepio what asked question pointing leia
180,star wars,what artoo whistles surprise pretends notice hologram looks around sheepishly beeps answer threepio translate leia continues repeat sentence
181,star wars,fragment leia help obi wan kenobi hope help obi wan kenobi hope threepio oh says nothing sir merely
182,star wars,malfunction old data pay mind luke becomes intrigued beautiful girl luke who beautiful threepio afraid quite sure sir
183,star wars,leia help obi wan kenobi threepio think passenger last voyage person importance sir believe our captain attached luke
184,star wars,is recording luke reaches artoo lets several frantic squeaks whistle threepio behave artoo going get us trouble right
185,star wars,trust new master artoo whistles beeps long message threepio threepio says property obi wan kenobi resident parts and
186,star wars,private message quite frankly sir know talking our last master captain antilles little r unit become bit eccentric
187,star wars,luke obi wan kenobi wonder means old ben kenobi threepio beg pardon sir know talking luke well know
188,star wars,anyone named obi wan old ben lives beyond dune sea kind strange old hermit luke gazes beautiful young
189,star wars,princess moments luke wonder sounds like trouble better play back whole thing artoo beeps something threepio threepio says
190,star wars,restraining bolt short circuited recording system suggests remove bolt might able play back entire recording luke looks longingly
191,star wars,lovely little princess really heard threepio saying luke h oh yeah well guess small run away take okay
192,star wars,luke takes wedged bar pops restraining bolt artoo side luke there go princess immediately disappears luke well wait
193,star wars,minute where go bring back play back entire message artoo beeps innocent reply threepio sits embarrassment threepio what
194,star wars,message one carrying inside rusty innards women voice calls another room aunt beru luke luke come dinner luke
195,star wars,stands shakes head malfunctioning robot luke all right right aunt beru threepio sorry sir appears picked slight flutter
196,star wars,luke tosses artoo restraining bolt workbench hurries room luke well see right back threepio artoo just reconsider playing
197,star wars,message artoo beeps response threepio no think likes artoo beeps threepio no like either lars homestead dining area
198,star wars,luke aunt beru warm motherly woman fills pitcher blue fluid refrigerated container well used kitchen puts pitcher tray
199,star wars,bowls food starts dining area luke sits uncle owen table covered steaming bowls food aunt beru carries bowl
200,star wars,red grain luke know think r unit bought might stolen owen what makes think luke well stumbled across
201,star wars,recording cleaning says belongs someone called obi wan kenobi owen greatly alarmed mention name manages control luke thought
202,star wars,might meant old ben do know talking well wonder related ben owen breaks loose fit uncontrolled anger owen
203,star wars,that old man crazy old wizard tomorrow want take r unit anchorhead memory flushed that end belongs us
204,star wars,luke but obi wan comes looking owen think exists died time father luke knew father owen told forget
205,star wars,your concern prepare new droids tomorrow in morning want south ridge working condensers luke yes sir think new
206,star wars,droids going work fine in fact uh also thinking agreement staying another season and new droids work want
207,star wars,transmit application academy year owen face becomes scowl although tries suppress owen mean next semester harvest luke sure
208,star wars,enough droids owen harvest need only one season this year make enough harvest able hire hands and go
209,star wars,academy next year luke continues toy food looking uncle owen must understand need luke luke but whole nother
210,star wars,year owen look one season luke pushes half eaten plate food aside stands luke yeah said last year
211,star wars,biggs tank left aunt beru where going luke looks like going nowhere finish cleaning droids resigned fate luke
212,star wars,paddles room owen mechanically finishes dinner aunt beru owen stay forever most friends gone means much owen make
213,star wars,next year promise aunt beru luke farmer owen much father owen that afraid tatooine lars homestead giant twin
214,star wars,suns tatooine slowly disappear behind distant dune range luke stands watching moments reluctantly enters doomed entrance homestead lars
215,star wars,homestead garage luke enters garage discover robots nowhere sight takes small control box utility belt similar one jawas
216,star wars,carrying activates box creates low hum threepio letting short yell pops behind skyhopper spaceship luke what hiding threepio
217,star wars,stumbles forward artoo still nowhere sight threepio fault sir please deactivate told go faulty malfunctioning kept babbling mission
218,star wars,luke oh luke races garage followed threepio tatooine lars homestead luke rushes small doomed entry homestead searches darkening
219,star wars,horizon small triped astro robot threepio struggles homestead salt flat luke scans landscape electrobinoculars threepio that r unit
220,star wars,always problem these astro droids getting quite hand even understand logic times luke how could stupid nowhere sight
221,star wars,blast threepio pardon sir go luke dangerous sandpeople around wait morning owen yells homestead plaza owen luke shutting
222,star wars,power night luke all right minutes boy gon na get takes one final look across dim horizon luke
223,star wars,know little droid going cause lot trouble threepio oh excels sir lars homestead plaza morning slowly creeps sparse
224,star wars,sparkling oasis open courtyard idyll broken yelling uncle owen voice echoing throughout homestead owen luke luke luke where
225,star wars,could loafing lars homestead kitchen interior kitchen worm glow aunt beru prepares morning breakfast owen enters huff owen
226,star wars,have seen luke morning aunt beru said things started today left early owen uh did take two new
227,star wars,droids aunt beru think owen well better units south range repaired midday hell pay tatooine desert wasteland luke
228,star wars,speeder day rock sand desert floor blur threepio pilots sleek landspeeder gracefully across vast wasteland luke speeder desert
229,star wars,wasteland traveling day luke leans back speeder adjusts something motor compartment luke yelling how threepio signals fine luke
230,star wars,turns back wind whipped cockpit pops canopy shut luke old ben kenobi lives direction somewhere see r unit
231,star wars,could come far must missed uncle owen going take well threepio sir would help told fault luke brightening
232,star wars,sure needs probably deactivate day threepio deactivate well hand removed restraining bolt luke wait something dead ahead scanner
233,star wars,looks like droid hit accelerator tatooine rock mesa dune sea coastline day from high rock mesa tiny landspeeder
234,star wars,seen gliding across desert floor suddenly foreground two weather beaten sandpeople shrouded grimy desert cloaks peer edge rock
235,star wars,mesa one marginally human creatures raises long ominous laser rifle points speeder second creature grabs gun fired sandpeople
236,star wars,tusken raiders sometimes called speak coarse barbaric language get animated argument second tusken raider seems get final word
237,star wars,nomads scurry rocky terrain tatooine rock mesa canyon tusken raider approaches two large banthas standing tied rock monstrous
238,star wars,bear like creatures large elephants huge red eyes tremendous looped horns long furry dinosaur like tails tusken raiders
239,star wars,mount saddles strapped huge creatures shaggy backs ride rugged bluff tatooine rock canyon floor speeder parked floor massive
240,star wars,canyon luke long laser rifle slung shoulder stands little artoo luke hey whoa think going little droid whistles
241,star wars,feeble reply threepio poses menacingly behind little runaway threepio master luke rightful owner obi wan kenobi jibberish talk
242,star wars,mission either fortunate blast million pieces right luke well come getting late hope get back uncle owen really
243,star wars,blows threepio if mind saying sir think deactivate little fugitive gotten back workshop luke no going try anything
244,star wars,suddenly little robot jumps life mass frantic whistles screams luke what wrong threepio oh sir says several creatures
245,star wars,approaching southeast luke swings rifle position looks south luke sandpeople or worst come let look come tatooine rock
246,star wars,canyon ridge day luke carefully makes way top rock ridge scans canyon electrobinoculars spots two riderless banthas threepio
247,star wars,struggles behind young adventurer luke there two banthas see wait second sandpeople right see one luke watches distant
248,star wars,tusken raider electrobinoculars suddenly something huge moves front field view before luke threepio react large gruesome tusken raider
249,star wars,looms threepio startled backs away right side cliff heard several moments clangs bangs rattles side mountain towering creature
250,star wars,brings curved double pointed gaderffii dreaded axe blade struck terror heart local settlers but luke manages block blow
251,star wars,laser rifle smashed pieces terrified farm boy scrambles backward forced edge deep crevice sinister raider stands weapon raised
252,star wars,lets horrible shrieking laugh tatooine rock canyon floor day artoo forces shadows small alcove rocks vicious sandpeople walk
253,star wars,past carrying inert luke skywalker dropped heap speeder sandpeople ransack speeder throwing parts supplies directions suddenly stop then
254,star wars,everything quiet moments great howling moan heard echoing throughout canyon sends sandpeople fleeing terror artoo moves even tighter
255,star wars,shadows slight swishing sound frightened sandpeople grows even closer shabby old desert rat man appears leans luke his
256,star wars,ancient leathery face cracked weathered exotic climates set dark penetrating eyes scraggly white beard ben kenobi squints eyes
257,star wars,scrutinizes unconscious farm boy artoo makes slight sound ben turns looks right ben hello come little friend don
258,star wars,afraid artoo waddles luke lies crumpled heap begins whistle beep concern ben puts hand luke forehead begins come
259,star wars,around ben don worry right luke what happened ben rest easy son busy day fortunate still one piece
260,star wars,luke ben ben kenobi boy glad see ben jundland wastes traveled lightly tell young luke brings far luke
261,star wars,oh little droid think searching former master never seen devotion droid seems stopping claims property obi wan kenobi
262,star wars,is relative do know talking ben ponders moment scratching scruffy beard ben obi wan kenobi obi wan now
263,star wars,thats name heard long time long time luke think uncle knew said dead ben oh dead yet luke
264,star wars,know ben well course course know gone name obi wan since oh born luke then droid belong ben
265,star wars,don seem remember ever owning droid very interesting suddenly looks overhanging cliffs ben think better get indoors sandpeople
266,star wars,easily startled soon back greater numbers luke sits rubs head artoo lets pathetic beep causing luke remember something
267,star wars,looks around luke threepio tatooine sand pit rock mesa day little artoo stands edge large sand pit begins
268,star wars,chatter away electronic whistles beeps luke ben stand dented tangled threepio lying half buried sand one arms broken
269,star wars,luke tries revive inert robot shaking flips hidden switch back several times finally mechanical man systems turn threepio
270,star wars,where must taken bad step luke can stand got get sandpeople return threepio think make go master luke
271,star wars,there sense risking account done artoo makes beeping sound luke no what kind talk luke ben help battered
272,star wars,robot feet little artoo watches top pit ben glances around suspiciously sensing something stands sniffs air ben quickly
273,star wars,son move kenobi dwelling small spartan hovel cluttered desert junk still manages radiate air time worn comfort security
274,star wars,luke one corner repairing threepio arm old ben sits thinking luke no father fight wars navigator spice freighter
275,star wars,ben that uncle told hold father ideals thought stayed gotten involved luke fought clone wars ben yes jedi
276,star wars,knight father luke wish known ben best star pilot galaxy cunning warrior understand become quite good pilot and
277,star wars,good friend which reminds ben gets goes chest rummages around as luke finishes repairing threepio starts fit restraining
278,star wars,bolt back threepio looks nervously luke thinks bolt moment puts table ben shuffles presents luke short handle several
279,star wars,electronic gadgets attached ben something your father wanted old enough uncle allow feared might follow old obi wan
280,star wars,damned fool idealistic crusade like father threepio sir needing close awhile luke sure go ahead ben hands luke
281,star wars,saber luke what ben your fathers lightsaber this weapon jedi knight not clumsy random blaster luke pushes button
282,star wars,handle long beam shoots four feet flickers light plays across ceiling ben an elegant weapon civilized time for
283,star wars,thousand generations jedi knights guardians peace justice old republic before dark times empire luke really listening luke how
284,star wars,father die ben young jedi named darth vader pupil mine turned evil helped empire hunt destroy jedi knights
285,star wars,betrayed murdered father now jedi extinct vader seduced dark side force luke force ben well force gives jedi
286,star wars,power energy field created living things surrounds us penetrates us binds galaxy together artoo makes beeping sounds ben
287,star wars,now let see figure little friend and come luke saw part message luke cut short recorded image beautiful
288,star wars,young rebel princess projected artoo face ben seem found luke stops work lovely girl image flickers eyes leia
289,star wars,general kenobi years ago served father clone wars now begs help struggle empire regret unable present father request
290,star wars,person ship fallen attack afraid mission bring alderaan failed placed information vital survival rebellion memory systems r unit
291,star wars,my father know retrieve must see droid safely delivered alderaan this desperate hour help obi wan kenobi hope
292,star wars,there little static transmission cut short old ben leans back scratches head silently puffs tarnished chrome water pipe
293,star wars,luke stars eyes ben must learn ways force come alderaan luke laughing alderaan going alderaan got go home
294,star wars,late ben need help luke needs help getting old sort thing luke get involved got work like empire
295,star wars,hate but nothing right long way ben that uncle talking luke sighing oh god uncle how ever going
296,star wars,explain ben learn force luke luke look take far anchorhead get transport mos eisley wherever going ben must
297,star wars,feel right course space an imperial stardestroyer heads toward evil planet like battle station death star death star
298,star wars,conference room eight imperial senators generals sit around black conference table imperial stormtroopers stand guard around room commander
299,star wars,tagge young slimy looking general speaking tagge until battle station fully operational vulnerable rebel alliance well equipped dangerous
300,star wars,realize bitter admiral motti twists nervously chair motti dangerous starfleet commander battle station tagge rebellion continue gain support
301,star wars,imperial senate long suddenly heads turn commander tagge speech cut short grand moff tarkin governor imperial outland regions
302,star wars,enters followed powerful ally sith lord darth vader all generals stand bow thin evil looking governor takes place
303,star wars,head table dark lord stands behind tarkin imperial senate longer concern us received word emperor dissolved council permanently
304,star wars,last remnants old republic swept away tagge that impossible how emperor maintain control without bureaucracy tarkin regional governors
